,CMA Number,Chinese Name,English Name,Landing Location,Landing Time,Peak Strength,Landing Strength,coordinate,lat,lon,area,city,prinvince
82,8208,——,Winona,广西省防城港市港口区光坡镇,1982年7月18日,10级，25m/s，985hPa,8级，18m/s，994hPa,"(21.652153, 108.491047)",21.652153,108.491047,"('Guangdong Sheng', 'Zhanjiang Shi')",Zhanjiang Shi,Guangdong Sheng
83,8209,——,Andy,台湾省台东县东河乡,1982年7月29日,16级，55m/s，915hPa,15级，50m/s，945hPa,"(23.0691722, 121.2855249)",23.0691722,121.2855249,"('Guangdong Sheng', 'Zhanjiang Shi')",Zhanjiang Shi,Guangdong Sheng
84,8209,——,Andy,福建省莆田市秀屿区东峤镇,1982年7月30日,16级，55m/s，915hPa,8级，18m/s，990hPa,"(25.267049, 119.171832)",25.267049,119.171832,"('Fujian Sheng', 'Putian Shi')",Putian Shi,Fujian Sheng
85,8212,——,Dot,台湾省台东县大武乡,1982年8月15日,12级，35m/s，971hPa,11级，30m/s，988hPa,"(22.4141954, 120.907304)",22.4141954,120.907304,"('Fujian Sheng', 'Putian Shi')",Putian Shi,Fujian Sheng
86,8212,——,Dot,福建省漳州市漳浦县六鳌镇,1982年8月15日,12级，35m/s，971hPa,8级，20m/s，995hPa,"(23.934173, 117.750935)",23.934173,117.750935,"('Fujian Sheng', 'Zhangzhou Shi')",Zhangzhou Shi,Fujian Sheng
87,8217,——,Irving,海南省文昌市翁田镇,1982年9月15日,13级，40m/s，947hPa,13级，40m/s，960hPa,"(19.931473, 110.880179)",19.931473,110.880179,"('Hainan Sheng', 'Wenchang Shi')",Wenchang Shi,Hainan Sheng
88,8217,——,Irving,广东省湛江市徐闻县龙塘镇,1982年9月15日,13级，40m/s，947hPa,12级，35m/s，965hPa,"(20.315512, 110.325581)",20.315512,110.325581,"('Guangdong Sheng', 'Zhanjiang Shi')",Zhanjiang Shi,Guangdong Sheng
89,8302,——,Tip,海南省文昌市翁田镇,1983年7月13日,11级，30m/s，980hPa,7级，15m/s，994hPa,"(19.931473, 110.880179)",19.931473,110.880179,"('Hainan Sheng', 'Wenchang Shi')",Wenchang Shi,Hainan Sheng
90,8302,——,Tip,广东省湛江市徐闻县龙塘镇,1983年7月13日,11级，30m/s，980hPa,7级，15m/s，998hPa,"(20.315512, 110.325581)",20.315512,110.325581,"('Guangdong Sheng', 'Zhanjiang Shi')",Zhanjiang Shi,Guangdong Sheng
91,8303,——,Vera,海南省文昌市会文镇,1983年7月17日,12级，35m/s，967hPa,12级，35m/s，967hPa,"(19.462573, 110.731756)",19.462573,110.731756,"('Hainan Sheng', 'Wenchang Shi')",Wenchang Shi,Hainan Sheng
92,8304,——,Wayne,福建省漳州市漳浦县六鳌镇,1983年7月25日,17+级，65m/s，912hPa,14级，45m/s，950hPa,"(23.934173, 117.750935)",23.934173,117.750935,"('Fujian Sheng', 'Zhangzhou Shi')",Zhangzhou Shi,Fujian Sheng
93,8309,——,Ellen,广东省珠海市香洲区吉大沿海,1983年9月9日,17级，60m/s，928hPa,14级，45m/s，970hPa,"(22.247881, 113.575943)",22.247881,113.575943,"('Guangdong Sheng', 'Zhuhai Shi')",Zhuhai Shi,Guangdong Sheng
94,8311,——,Georgia,海南省文昌市东郊镇,1983年9月30日,11级，30m/s，980hPa,11级，30m/s，980hPa,"(19.573201, 110.851831)",19.573201,110.851831,"('Hainan Sheng', 'Wenchang Shi')",Wenchang Shi,Hainan Sheng
95,8314,——,Joe,广东省阳江市阳东县东平镇,1983年10月13日,11级，30m/s，985hPa,11级，30m/s，985hPa,"(21.738382, 112.228638)",21.738382,112.228638,"('Guangdong Sheng', 'Yangjiang Shi')",Yangjiang Shi,Guangdong Sheng
96,8402,——,Wynne,广东省茂名市电白县爵山镇,1984年6月25日,11级，30m/s，970hPa,11级，30m/s，970hPa,"(21.492331, 111.345187)",21.492331,111.345187,"('Guangdong Sheng', 'Maoming Shi')",Maoming Shi,Guangdong Sheng
97,8403,——,Alex,台湾省台东县长滨乡,1984年7月3日,12级，35m/s，962hPa,11级，30m/s，985hPa,"(23.3451824, 121.43419)",23.3451824,121.43419,"('Guangdong Sheng', 'Maoming Shi')",Maoming Shi,Guangdong Sheng
